ccode,polity_code,dispute,StYear,EndYear
663,JOR,1,2000,2000
368,LIT,1,2000,2000
212,LUX,1,2000,2000
600,MOR,1,2000,2000
385,NOR,1,2000,2000
210,NTH,1,2000,2000
290,POL,1,2000,2000
235,POR,1,2000,2000
365,RUS,1,2000,2000
317,SLO,1,2000,2000
349,SLV,1,2000,2000
230,SPN,1,2000,2000
380,SWD,1,2000,2000
225,SWZ,1,2000,2000
640,TUR,1,2000,2000
696,UAE,1,2000,2000
200,UKG,1,2000,2000
369,UKR,1,2000,2000
2,USA,1,2000,2000
345,YGS,1,2000,2000
640,TUR,1,1999,1999
365,RUS,1,1999,1999
530,ETI,1,2002,2002
520,SOM,1,2002,2002
530,ETI,1,2002,2002
501,KEN,1,2002,2002
517,RWA,1,2002,2002
490,ZAI,1,2002,2002
451,SIE,1,2002,2002
450,LBR,1,2002,2002
625,SDN,1,2002,2002
531,ERI,1,2002,2002
500,UGA,1,2002,2002
501,KEN,1,2002,2002
433,SEN,1,2002,2002
420,GAM,1,2002,2002
600,MOR,1,2002,2002
230,SPN,1,2002,2002
510,TAZ,1,2002,2002
516,BUI,1,2002,2002
200,UKG,1,2002,2002
552,ZIM,1,2002,2002
530,ETI,1,2002,2002
531,ERI,1,2002,2002
517,RWA,1,2002,2003
490,ZAI,1,2002,2003
500,UGA,1,2003,2003
540,ANG,1,2002,2002
490,ZAI,1,2002,2002
450,LBR,1,2002,2003
437,IVO,1,2002,2003
620,LIB,1,2002,2003
490,ZAI,1,2002,2003
625,SDN,1,2003,2003
365,RUS,1,2003,2003
615,ALG,1,2003,2003
432,MLI,1,2003,2003
530,ETI,1,2003,2003
531,ERI,1,2003,2003
530,ETI,1,2003,2003
501,KEN,1,2003,2003
432,MLI,1,2003,2003
435,MAA,1,2003,2003
517,RWA,1,2004,2004
516,BUI,1,2004,2004
517,RWA,1,2004,2004
490,ZAI,1,2004,2004
516,BUI,1,2004,2004
625,SDN,1,2004,2005
483,CHA,1,2004,2005
220,FRN,1,2004,2005
551,ZAM,1,2004,2004
490,ZAI,1,2004,2004
501,KEN,1,2004,2004
530,ETI,1,2004,2004
531,ERI,1,2004,2005
625,SDN,1,2004,2005
437,IVO,1,2004,2005
220,FRN,1,2004,2005
2,USA,1,2004,2004
500,UGA,1,2004,2004
517,RWA,1,2004,2004
501,KEN,1,2005,2005
520,SOM,1,2005,2005
530,ETI,1,2005,2005
501,KEN,1,2005,2005
530,ETI,1,2005,2005
531,ERI,1,2005,2005
530,ETI,1,2005,2005
520,SOM,1,2005,2005
540,ANG,1,2005,2005
490,ZAI,1,2005,2005
461,TOG,1,2005,2005
452,GHA,1,2005,2005
531,ERI,1,2005,2005
679,YEM,1,2005,2005
471,CAO,1,2005,2005
475,NIG,1,2005,2005
